word	onset	duration	trial_type
en	63.40000000000001	0.25	{'kind': 'word', 'word': 'en'}
tirer	63.70000000000001	0.25	{'kind': 'word', 'word': 'tirer'}
mon	64.00000000000001	0.25	{'kind': 'word', 'word': 'mon'}
revolver,	64.30000000000001	0.25	{'kind': 'word', 'word': 'revolver'}
je	64.60000000000001	0.25	{'kind': 'word', 'word': 'je'}
pris	64.9	0.25	{'kind': 'word', 'word': 'pris'}
le	65.20000000000002	0.25	{'kind': 'word', 'word': 'le'}
pas	65.50000000000001	0.25	{'kind': 'word', 'word': 'pas'}
de	65.80000000000001	0.25	{'kind': 'word', 'word': 'de'}
course,	66.10000000000001	0.25	{'kind': 'word', 'word': 'course'}
mais,	66.4	0.25	{'kind': 'word', 'word': 'mais'}
au	66.70000000000002	0.25	{'kind': 'word', 'word': 'au'}
bruit	67.00000000000001	0.25	{'kind': 'word', 'word': 'bruit'}
que	67.30000000000001	0.25	{'kind': 'word', 'word': 'que'}
je	67.60000000000001	0.25	{'kind': 'word', 'word': 'je'}
fis,	67.90000000000002	0.25	{'kind': 'word', 'word': 'fis'}
le	68.20000000000002	0.25	{'kind': 'word', 'word': 'le'}
serpent	68.50000000000001	0.25	{'kind': 'word', 'word': 'serpent'}
se	68.80000000000001	0.25	{'kind': 'word', 'word': 'se'}
laissa	69.10000000000001	0.25	{'kind': 'word', 'word': 'laissa'}
doucement	69.40000000000002	0.25	{'kind': 'word', 'word': 'doucement'}
couler	69.70000000000002	0.25	{'kind': 'word', 'word': 'couler'}
dans	70.00000000000001	0.25	{'kind': 'word', 'word': 'dans'}
le	70.30000000000001	0.25	{'kind': 'word', 'word': 'le'}
sable,	70.60000000000001	0.25	{'kind': 'word', 'word': 'sable'}
comme	70.90000000000002	0.25	{'kind': 'word', 'word': 'comme'}
un	71.20000000000002	0.25	{'kind': 'word', 'word': 'un'}
jet	71.50000000000001	0.25	{'kind': 'word', 'word': 'jet'}
d'eau	71.80000000000001	0.25	{'kind': 'word', 'word': 'deau'}
qui	72.10000000000001	0.25	{'kind': 'word', 'word': 'qui'}
meurt,	72.40000000000002	0.25	{'kind': 'word', 'word': 'meurt'}
et,	72.70000000000002	0.25	{'kind': 'word', 'word': 'et'}
sans	73.00000000000001	0.25	{'kind': 'word', 'word': 'sans'}
trop	73.30000000000001	0.25	{'kind': 'word', 'word': 'trop'}
se	73.60000000000001	0.25	{'kind': 'word', 'word': 'se'}
presser,	73.90000000000002	0.25	{'kind': 'word', 'word': 'presser'}
se	74.20000000000002	0.25	{'kind': 'word', 'word': 'se'}
faufila	74.50000000000001	0.25	{'kind': 'word', 'word': 'faufila'}
entre	74.80000000000001	0.25	{'kind': 'word', 'word': 'entre'}
les	75.10000000000001	0.25	{'kind': 'word', 'word': 'les'}
pierres	75.40000000000002	0.25	{'kind': 'word', 'word': 'pierres'}
avec	75.70000000000002	0.25	{'kind': 'word', 'word': 'avec'}
un	76.00000000000001	0.25	{'kind': 'word', 'word': 'un'}
léger	76.30000000000001	0.25	{'kind': 'word', 'word': 'léger'}
bruit	76.60000000000001	0.25	{'kind': 'word', 'word': 'bruit'}
de	76.90000000000002	0.25	{'kind': 'word', 'word': 'de'}
métal.	77.20000000000002	0.25	{'kind': 'word', 'word': 'métal'}
Je	77.50000000000001	0.25	{'kind': 'word', 'word': 'Je'}
parvins	77.80000000000001	0.25	{'kind': 'word', 'word': 'parvins'}
au	78.10000000000001	0.25	{'kind': 'word', 'word': 'au'}
mur	78.40000000000002	0.25	{'kind': 'word', 'word': 'mur'}
juste	78.70000000000002	0.25	{'kind': 'word', 'word': 'juste'}
à	79.00000000000001	0.25	{'kind': 'word', 'word': 'à'}
temps	79.30000000000001	0.25	{'kind': 'word', 'word': 'temps'}
