,data,trigger_ind,trigger_time,word,word_duration,word_ind,word_time
319,match,228.0,106.828,un,0.1599999999999966,154.0,63.94
320,trigger,229.0,106.987,,,,
321,trigger,230.0,108.366,,,,
322,word,,,éléphant,0.480000000000004,,64.1
323,match,231.0,108.421,j,0.1299999999999954,156.0,65.53
324,match,232.0,108.548,ai,0.1700000000000017,157.0,65.66
325,trigger,233.0,108.72,,,,
326,trigger,234.0,109.007,,,,
327,trigger,235.0,109.062,,,,
328,trigger,236.0,109.529,,,,
329,trigger,237.0,109.583,,,,
330,trigger,238.0,109.632,,,,
331,trigger,239.0,110.13,,,,
332,word,,,alors,0.3400000000000034,,65.83
333,word,,,dessiné,0.519999999999996,,66.17
334,word,,,l,0.0600000000000022,,66.69
335,word,,,intérieur,0.5400000000000063,,66.75
336,match,240.0,110.184,du,0.0549999999999926,162.0,67.29
337,match,241.0,110.29,serpent,0.3999999999999915,164.0,67.4
338,trigger,242.0,110.695,,,,
339,trigger,243.0,111.312,,,,
340,trigger,244.0,111.366,,,,
341,trigger,245.0,111.622,,,,
342,word,,,boa,0.3599999999999994,,67.8
343,word,,,afin,0.3100000000000023,,68.47
344,match,246.0,111.677,que,0.1099999999999994,167.0,68.78
345,match,247.0,111.783,les,0.1200000000000045,168.0,68.89
346,match,248.0,111.903,grandes,0.25,169.0,69.01
347,match,249.0,112.158,personnes,0.3999999999999915,170.0,69.26
348,match,250.0,112.558,puissent,0.2199999999999988,171.0,69.66
349,trigger,251.0,112.778,,,,
350,trigger,252.0,113.987,,,,
351,trigger,253.0,114.041,,,,
352,trigger,254.0,114.337,,,,
353,trigger,255.0,114.392,,,,
354,trigger,256.0,114.678,,,,
355,trigger,257.0,114.733,,,,
356,trigger,258.0,115.339,,,,
357,trigger,259.0,115.394,,,,
358,trigger,260.0,115.7,,,,
359,trigger,261.0,115.754,,,,
360,trigger,262.0,115.803,,,,
361,trigger,263.0,117.282,,,,
362,trigger,264.0,117.337,,,,
