word	onset	duration	trial_type
si	97.90000000000002	0.25	{'kind': 'word', 'word': 'si'}
les	98.20000000000002	0.25	{'kind': 'word', 'word': 'les'}
souvenirs	98.5	0.25	{'kind': 'word', 'word': 'souvenirs'}
de	98.8	0.25	{'kind': 'word', 'word': 'de'}
l'un	99.1	0.25	{'kind': 'word', 'word': 'lun'}
d'entre	99.40000000000002	0.25	{'kind': 'word', 'word': 'dentre'}
eux	99.70000000000002	0.25	{'kind': 'word', 'word': 'eux'}
lui	100.0	0.25	{'kind': 'word', 'word': 'lui'}
paraissent	100.3	0.25	{'kind': 'word', 'word': 'paraissent'}
intéressants,	100.6	0.25	{'kind': 'word', 'word': 'intéressants'}
le	100.90000000000002	0.25	{'kind': 'word', 'word': 'le'}
géographe	101.20000000000002	0.25	{'kind': 'word', 'word': 'géographe'}
fait	101.5	0.25	{'kind': 'word', 'word': 'fait'}
faire	101.8	0.25	{'kind': 'word', 'word': 'faire'}
une	102.1	0.25	{'kind': 'word', 'word': 'une'}
enquête	102.40000000000002	0.25	{'kind': 'word', 'word': 'enquête'}
sur	102.70000000000002	0.25	{'kind': 'word', 'word': 'sur'}
la	103.0	0.25	{'kind': 'word', 'word': 'la'}
moralité	103.3	0.25	{'kind': 'word', 'word': 'moralité'}
de	103.6	0.25	{'kind': 'word', 'word': 'de'}
l'explorateur.	103.90000000000002	0.25	{'kind': 'word', 'word': 'lexplorateur'}
Pourquoi	104.70000000000002	0.25	{'kind': 'word', 'word': 'Pourquoi'}
ça?	105.0	0.25	{'kind': 'word', 'word': 'ça'}
Parce	105.8	0.25	{'kind': 'word', 'word': 'Parce'}
qu'un	106.1	0.25	{'kind': 'word', 'word': 'quun'}
explorateur	106.40000000000002	0.25	{'kind': 'word', 'word': 'explorateur'}
qui	106.70000000000002	0.25	{'kind': 'word', 'word': 'qui'}
mentirait	107.0	0.25	{'kind': 'word', 'word': 'mentirait'}
entraînerait	107.3	0.25	{'kind': 'word', 'word': 'entraînerait'}
des	107.60000000000002	0.25	{'kind': 'word', 'word': 'des'}
catastrophes	107.90000000000002	0.25	{'kind': 'word', 'word': 'catastrophes'}
dans	108.20000000000002	0.25	{'kind': 'word', 'word': 'dans'}
les	108.5	0.25	{'kind': 'word', 'word': 'les'}
livres	108.8	0.25	{'kind': 'word', 'word': 'livres'}
de	109.10000000000002	0.25	{'kind': 'word', 'word': 'de'}
géographie.	109.40000000000002	0.25	{'kind': 'word', 'word': 'géographie'}
Et	110.20000000000002	0.25	{'kind': 'word', 'word': 'Et'}
aussi	110.5	0.25	{'kind': 'word', 'word': 'aussi'}
un	110.8	0.25	{'kind': 'word', 'word': 'un'}
explorateur	111.10000000000002	0.25	{'kind': 'word', 'word': 'explorateur'}
qui	111.40000000000002	0.25	{'kind': 'word', 'word': 'qui'}
boirait	111.70000000000002	0.25	{'kind': 'word', 'word': 'boirait'}
trop.	112.0	0.25	{'kind': 'word', 'word': 'trop'}
Pourquoi	112.8	0.25	{'kind': 'word', 'word': 'Pourquoi'}
ça?	113.10000000000002	0.25	{'kind': 'word', 'word': 'ça'}
Fit	113.90000000000002	0.25	{'kind': 'word', 'word': 'Fit'}
le	114.20000000000002	0.25	{'kind': 'word', 'word': 'le'}
petit	114.5	0.25	{'kind': 'word', 'word': 'petit'}
prince.	114.8	0.25	{'kind': 'word', 'word': 'prince'}
Parce	115.60000000000002	0.25	{'kind': 'word', 'word': 'Parce'}
que	115.90000000000002	0.25	{'kind': 'word', 'word': 'que'}
les	116.20000000000002	0.25	{'kind': 'word', 'word': 'les'}
ivrognes	116.5	0.25	{'kind': 'word', 'word': 'ivrognes'}
voient	116.8	0.25	{'kind': 'word', 'word': 'voient'}
double.	117.10000000000002	0.25	{'kind': 'word', 'word': 'double'}
Alors	117.90000000000002	0.25	{'kind': 'word', 'word': 'Alors'}
le	118.20000000000002	0.25	{'kind': 'word', 'word': 'le'}
géographe	118.5	0.25	{'kind': 'word', 'word': 'géographe'}
noterait	118.8	0.25	{'kind': 'word', 'word': 'noterait'}
deux	119.10000000000002	0.25	{'kind': 'word', 'word': 'deux'}
montagnes,	119.40000000000002	0.25	{'kind': 'word', 'word': 'montagnes'}
là	119.70000000000002	0.25	{'kind': 'word', 'word': 'là'}
où	120.0	0.25	{'kind': 'word', 'word': 'où'}
il	120.3	0.25	{'kind': 'word', 'word': 'il'}
n'y	120.60000000000002	0.25	{'kind': 'word', 'word': 'ny'}
en	120.90000000000002	0.25	{'kind': 'word', 'word': 'en'}
a	121.20000000000002	0.25	{'kind': 'word', 'word': 'a'}
qu'une	121.5	0.25	{'kind': 'word', 'word': 'quune'}
seule.	121.8	0.25	{'kind': 'word', 'word': 'seule'}
Je	122.60000000000002	0.25	{'kind': 'word', 'word': 'Je'}
connais	122.90000000000002	0.25	{'kind': 'word', 'word': 'connais'}
quelqu'un,	123.20000000000002	0.25	{'kind': 'word', 'word': 'quelquun'}
dit	123.5	0.25	{'kind': 'word', 'word': 'dit'}
le	123.8	0.25	{'kind': 'word', 'word': 'le'}
petit	124.10000000000002	0.25	{'kind': 'word', 'word': 'petit'}
prince,	124.40000000000002	0.25	{'kind': 'word', 'word': 'prince'}
qui	124.70000000000002	0.25	{'kind': 'word', 'word': 'qui'}
serait	125.0	0.25	{'kind': 'word', 'word': 'serait'}
mauvais	125.3	0.25	{'kind': 'word', 'word': 'mauvais'}
explorateur.	125.60000000000002	0.25	{'kind': 'word', 'word': 'explorateur'}
C'est	126.40000000000002	0.25	{'kind': 'word', 'word': 'Cest'}
possible.	126.70000000000002	0.25	{'kind': 'word', 'word': 'possible'}
Donc,	127.5	0.25	{'kind': 'word', 'word': 'Donc'}
quand	127.8	0.25	{'kind': 'word', 'word': 'quand'}
la	128.10000000000002	0.25	{'kind': 'word', 'word': 'la'}
moralité	128.40000000000003	0.25	{'kind': 'word', 'word': 'moralité'}
de	128.70000000000002	0.25	{'kind': 'word', 'word': 'de'}
l'explorateur	129.0	0.25	{'kind': 'word', 'word': 'lexplorateur'}
paraît	129.3	0.25	{'kind': 'word', 'word': 'paraît'}
bonne,	129.60000000000002	0.25	{'kind': 'word', 'word': 'bonne'}
on	129.90000000000003	0.25	{'kind': 'word', 'word': 'on'}
fait	130.20000000000002	0.25	{'kind': 'word', 'word': 'fait'}
une	130.5	0.25	{'kind': 'word', 'word': 'une'}
enquête	130.8	0.25	{'kind': 'word', 'word': 'enquête'}
sur	131.10000000000002	0.25	{'kind': 'word', 'word': 'sur'}
sa	131.40000000000003	0.25	{'kind': 'word', 'word': 'sa'}
découverte.	131.70000000000002	0.25	{'kind': 'word', 'word': 'découverte'}
On	132.5	0.25	{'kind': 'word', 'word': 'On'}
va	132.8	0.25	{'kind': 'word', 'word': 'va'}
voir?	133.10000000000002	0.25	{'kind': 'word', 'word': 'voir'}
Non.	133.90000000000003	0.25	{'kind': 'word', 'word': 'Non'}
C'est	134.70000000000002	0.25	{'kind': 'word', 'word': 'Cest'}
trop	135.0	0.25	{'kind': 'word', 'word': 'trop'}
compliqué.	135.3	0.25	{'kind': 'word', 'word': 'compliqué'}
Mais	136.10000000000002	0.25	{'kind': 'word', 'word': 'Mais'}
on	136.40000000000003	0.25	{'kind': 'word', 'word': 'on'}
exige	136.70000000000002	0.25	{'kind': 'word', 'word': 'exige'}
de	137.0	0.25	{'kind': 'word', 'word': 'de'}
l'explorateur	137.3	0.25	{'kind': 'word', 'word': 'lexplorateur'}
qu'il	137.60000000000002	0.25	{'kind': 'word', 'word': 'quil'}
fournisse	137.90000000000003	0.25	{'kind': 'word', 'word': 'fournisse'}
des	138.20000000000002	0.25	{'kind': 'word', 'word': 'des'}
preuves.	138.5	0.25	{'kind': 'word', 'word': 'preuves'}
S'il	139.3	0.25	{'kind': 'word', 'word': 'Sil'}
s'agit	139.60000000000002	0.25	{'kind': 'word', 'word': 'sagit'}
par	139.90000000000003	0.25	{'kind': 'word', 'word': 'par'}
exemple	140.20000000000002	0.25	{'kind': 'word', 'word': 'exemple'}
de	140.5	0.25	{'kind': 'word', 'word': 'de'}
la	140.8	0.25	{'kind': 'word', 'word': 'la'}
découverte	141.10000000000002	0.25	{'kind': 'word', 'word': 'découverte'}
d'une	141.40000000000003	0.25	{'kind': 'word', 'word': 'dune'}
grosse	141.70000000000002	0.25	{'kind': 'word', 'word': 'grosse'}
montagne,	142.0	0.25	{'kind': 'word', 'word': 'montagne'}
on	142.3	0.25	{'kind': 'word', 'word': 'on'}
exige	142.60000000000002	0.25	{'kind': 'word', 'word': 'exige'}
qu'il	142.90000000000003	0.25	{'kind': 'word', 'word': 'quil'}
en	143.20000000000002	0.25	{'kind': 'word', 'word': 'en'}
rapporte	143.5	0.25	{'kind': 'word', 'word': 'rapporte'}
de	143.8	0.25	{'kind': 'word', 'word': 'de'}
grosses	144.10000000000002	0.25	{'kind': 'word', 'word': 'grosses'}
pierres.»	144.40000000000003	0.25	{'kind': 'word', 'word': 'pierres»'}
Le	145.20000000000002	0.25	{'kind': 'word', 'word': 'Le'}
géographe	145.5	0.25	{'kind': 'word', 'word': 'géographe'}
soudain	145.8	0.25	{'kind': 'word', 'word': 'soudain'}
s'émut.	146.10000000000002	0.25	{'kind': 'word', 'word': 'sémut'}
«mais	146.90000000000003	0.25	{'kind': 'word', 'word': '«mais'}
toi,	147.20000000000002	0.25	{'kind': 'word', 'word': 'toi'}
tu	147.5	0.25	{'kind': 'word', 'word': 'tu'}
viens	147.8	0.25	{'kind': 'word', 'word': 'viens'}
de	148.10000000000002	0.25	{'kind': 'word', 'word': 'de'}
loin!	148.40000000000003	0.25	{'kind': 'word', 'word': 'loin'}
Tu	149.20000000000002	0.25	{'kind': 'word', 'word': 'Tu'}
