,phoneme,onset,duration,kind,low,high,mid,labial,glottal,velar,vowel,plosive,fricative,nasal,approximant,trill,voice,voiced_vowel,word
1533,t,212.75,0.09000000000000341,phoneme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
1534,w,212.84,0.060000000000002274,phoneme,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
1535,a,212.9,0.12000000000000455,phoneme,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1536,l,213.02,0.04999999999998295,phoneme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
1537,p,213.07,0.09000000000000341,phoneme,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
1538,H,213.16,0.03999999999999204,phoneme,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
1539,i,213.2,0.040000000000020464,phoneme,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1540,s,213.24,0.12000000000000455,phoneme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
1541,k,213.36,0.029999999999972715,phoneme,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
1542,@,213.39,0.0700000000000216,phoneme,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1543,Z,213.46,0.19999999999998863,phoneme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
1544,a,213.66,0.12999999999999545,phoneme,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1545,m,213.79,0.09999999999999432,phoneme,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
1546,E,213.89,0.09000000000000341,phoneme,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1547,p,213.98,0.0800000000000125,phoneme,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
